year;macro_area;gini_index
2005;north;0,27
2006;north;0,2655
2007;north;0,26
2008;north;0,2625
2009;north;0,2655
2005;centre;0,281
2006;centre;0,28
2007;centre;0,267
2008;centre;0,273
2009;centre;0,267
2005;south;0,317
2006;south;0,301
2007;south;0,291
2008;south;0,296
2009;south;0,296
