year;macro_area;suicides
2006;nordwest;1052
2006;nordeast;865
2006;centre;714
2006;south;649
2006;islands;421
2007;nordwest;1050
2007;nordeast;877
2007;centre;724
2007;south;671
2007;islands;435
2008;nordwest;1093
2008;nordeast;904
2008;centre;752
2008;south;703
2008;islands;454
2009;nordwest;1165
2009;nordeast;905
2009;centre;776
2009;south;686
2009;islands;443
