macro_area;year;avg_precipitations;avg_temperature
north;2005;732;9,25
centre;2005;929;12,7
south;2005;787;15,37
north;2006;640;10,16
centre;2006;659;13,63
south;2006;658;16,01
north;2007;644;10,59
centre;2007;588;13,83
south;2007;637;16,19
north;2008;975;10,3
centre;2008;931;13,69
south;2008;642;16,27
north;2009;880;10,28
centre;2009;876;13,51
south;2009;827;16,18
